Rank,Player,Team,POS,Yahoo,ESPN,adp
1,Nathan MacKinnon ,COL,C,2,1,1.5
2,Connor McDavid ,EDM,C,1,2,1.5
3,Leon Draisaitl ,EDM,C,3,7,5
4,Cale Makar ,COL,D,5,5,5
5,Auston Matthews ,TOR,C,8,3,5.5
6,Nikita Kucherov ,TB,RW,4,8,6
7,Connor Hellebuyck ,WPG,G,9,4,6.5
8,David Pastrnak ,BOS,RW,7,6,6.5
9,Kirill Kaprizov ,MIN,LW,6,13,9.5
10,Brady Tkachuk ,FLA,LW,10,9,9.5
11,William Nylander ,TOR,RW,13,12,12.5
12,Mikko Rantanen ,DAL,RW,11,15,13
13,Jake Oettinger ,DAL,G,18,10,14
14,Andrei Vasilevskiy ,TB,G,16,14,15
15,Kyle Connor ,WPG,LW,15,16,15.5
16,Jack Eichel ,VGK,C,14,21,17.5
17,Jack Hughes ,NJ,C,17,18,17.5
18,Filip Forsberg ,NSH,LW,25,11,18
19,Quinn Hughes ,MIN,D,12,28,20
20,Artemi Panarin ,LA,LW,27,17,22
21,Igor Shesterkin ,NYR,G,26,19,22.5
22,Brayden Point ,TB,C,23,27,25
23,Sam Reinhart ,FLA,C,22,29,25.5
24,Evan Bouchard ,EDM,D,20,36,28
25,Zach Werenski ,CBJ,D,21,35,28
26,Mitch Marner ,VGK,RW,19,38,28.5
27,Rasmus Dahlin ,BUF,D,24,33,28.5
28,Sergei Bobrovsky ,TOR,G,39,22,30.5
29,Macklin Celebrini ,SJ,C,42,20,31
30,Jake Guentzel ,TB,C,30,32,31
31,J.T. Miller ,NYR,C,29,34,31.5
32,MacKenzie Weegar ,UTA,D,43,26,34.5
33,Sidney Crosby ,PIT,C,38,31,34.5
34,Filip Gustavsson ,MIN,G,46,24,35
35,Roman Josi ,NSH,D,48,23,35.5
36,Alex Ovechkin ,WSH,LW,41,30,35.5
37,Jason Robertson ,DAL,LW,33,41,37
38,Victor Hedman ,TB,D,31,44,37.5
39,Tim Stutzle ,OTT,C,40,37,38.5
40,Cole Caufield ,MTL,RW,56,25,40.5
41,Tage Thompson ,BUF,C,34,48,41
42,Clayton Keller ,UTA,RW,36,50,43
43,Matt Boldy ,MIN,LW,32,56,44
44,Martin Necas ,COL,C,44,47,45.5
45,Adrian Kempe ,LA,RW,49,45,47
46,Josh Morrissey ,WPG,D,37,58,47.5
47,Moritz Seider ,DET,D,50,46,48
48,Jesper Bratt ,NJ,LW,35,63,49
49,Adin Hill ,VGK,G,57,43,50
50,Adam Fox ,NYR,D,45,55,50
51,Darcy Kuemper ,LA,G,51,53,52
52,Mark Scheifele ,WPG,C,58,49,53.5
53,Nick Suzuki ,MTL,C,53,54,53.5
54,Dustin Wolf ,CGY,G,70,39,54.5
55,Brandon Hagel ,TB,LW,52,57,54.5
56,Connor Bedard ,CHI,C,54,59,56.5
57,Elias Pettersson ,VAN,C,67,51,59
58,Jake Sanderson ,OTT,D,59,62,60.5
59,Mackenzie Blackwood ,COL,G,28,100,64
60,Lane Hutson ,MTL,D,47,83,65
61,John Tavares ,TOR,C,79,52,65.5
