Player,Team,Position,GP,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %
Alex Barré-Boulet,COL,C,2,16.8,28,7,80,20,5,80,7,3,70,0,0,-,1.06,0.17,86.5,13,2,86.67,4,2,66.67,0,0,-,9,0,100,0,0,-,22,3,88,0,0,-,0,100,1,6,4,0,17,100,10,5,0,100
Zack MacEwen,N.J,R,3,19,23,7,76.67,17,4,80.95,8,3,72.73,0,0,-,0.97,0.11,89.84,8,1,88.89,4,0,100,0,0,-,4,1,80,0,0,-,13,4,76.47,0,0,-,0,100,1,3,0,0,23,100,9,1,2,81.82
Tristan Luneau,ANA,D,1,11.61666667,23,7,76.67,15,5,75,9,2,81.82,2,0,100,0.92,0.39,70.47,8,4,66.67,2,3,40,1,0,100,6,1,85.71,0,0,-,16,3,84.21,1,0,100,22.22,100,1.222,2,2,2,10,50,5,5,3,62.5
Dysin Mayo,CBJ,D,3,25.2,34,14,70.83,27,11,71.05,17,7,70.83,2,1,66.67,1.51,1.02,59.62,16,7,69.57,7,3,70,1,0,100,9,4,69.23,1,1,50,22,7,75.86,0,0,-,11.76,85.71,0.975,9,5,1,22,90,10,7,5,66.67
Andreas Englund,NSH,D,3,26.45,30,14,68.18,23,11,67.65,10,8,55.56,0,1,0,1.68,0.84,66.53,12,7,63.16,6,3,66.67,0,0,-,6,4,60,0,0,-,15,12,55.56,0,1,0,0,87.5,0.875,2,8,4,24,33.33,6,12,8,42.86
Andrei Svechnikov,CAR,R,79,1341.816667,1884,963,66.17,1392,762,64.62,888,510,63.52,104,58,64.2,107.27,63.18,62.93,907,522,63.47,351,239,59.49,36,36,50,556,283,66.27,42,17,71.19,1241,469,72.57,25,1,96.15,11.71,88.63,1.003,371,236,118,866,75.87,699,356,291,70.61
Nikolaj Ehlers,CAR,L,82,1360.85,1771,932,65.52,1293,673,65.77,844,457,64.87,104,55,65.41,102.39,57.46,64.05,883,468,65.36,356,216,62.24,45,26,63.38,527,252,67.65,36,21,63.16,1035,504,67.25,23,3,88.46,12.32,87.96,1.003,303,266,116,915,72.32,579,386,303,65.65
Shayne Gostisbehere,CAR,D,55,1057.766667,1372,742,64.9,1023,562,64.54,660,350,65.35,82,44,65.08,74.9,46.07,61.92,670,371,64.36,271,172,61.17,32,21,60.38,399,199,66.72,38,19,66.67,908,390,69.95,12,2,85.71,12.42,87.43,0.999,271,191,66,686,80.42,570,319,171,76.92
Matthew Tkachuk,FLA,L,31,567.3833333,763,420,64.5,564,344,62.11,351,234,60,41,31,56.94,53.16,30.46,63.58,421,222,65.47,195,102,65.66,18,16,52.94,226,120,65.32,15,10,60,430,201,68.15,6,3,66.67,11.68,86.75,0.984,109,127,65,346,62.64,258,187,116,68.98
Brady Tkachuk,OTT,L,60,1017.616667,1350,745,64.44,1026,529,65.98,684,341,66.73,81,45,64.29,87.74,42.95,67.14,743,332,69.12,328,143,69.64,41,22,65.08,415,189,68.71,27,13,67.5,842,396,68.01,12,8,60,11.84,86.8,0.986,328,267,104,717,75.93,565,335,200,73.86
