Player,Team,Position,g,a,sog,sh%,Hit,blk
Connor McDavid,EDM,C,48,90,307,15.64,40,30
Nikita Kucherov,T.B,R,44,86,231,19.05,36,29
Nathan MacKinnon,COL,C,53,74,352,15.06,64,35
Macklin Celebrini,S.J,C,45,70,287,15.68,53,53
Mark Scheifele,WPG,C,36,67,175,20.57,32,47
Nick Suzuki,MTL,C,29,72,183,15.85,62,62
David Pastrnak,BOS,R,29,71,261,11.11,86,32
Martin Necas,COL,C,38,62,206,18.45,85,26
Leon Draisaitl,EDM,C,35,62,184,19.02,34,15
Jason Robertson,DAL,L,45,51,295,15.25,48,34
Evan Bouchard,EDM,D,21,74,221,9.5,29,101
Kyle Connor,WPG,L,39,53,274,14.23,36,19
Jack Eichel,VGK,C,27,63,260,10.38,35,40
Kirill Kaprizov,MIN,L,45,44,267,16.85,52,27
Jake Guentzel,T.B,C,38,50,219,17.35,39,41
Clayton Keller,UTA,R,26,62,225,11.56,8,32
Cole Caufield,MTL,R,51,37,258,19.77,50,21
Wyatt Johnston,DAL,C,45,41,206,21.84,56,55
Alex DeBrincat,DET,R,41,44,287,14.29,38,39
Matt Boldy,MIN,L,42,43,253,16.6,60,58
Artemi Panarin,"L.A, NYR",L,28,56,224,12.5,11,16
Tim Stützle,OTT,C,34,49,194,17.53,126,44
Zach Werenski,CBJ,D,22,59,260,8.46,30,94
Tage Thompson,BUF,C,40,41,270,14.81,85,48
Sebastian Aho,CAR,C,27,53,195,13.85,63,23
Mitch Marner,VGK,R,24,56,165,14.55,24,46
William Nylander,TOR,R,30,49,156,19.23,13,26
Cale Makar,COL,D,20,59,200,10,35,118
Mika Zibanejad,NYR,C,34,44,215,15.81,105,50
Lane Hutson,MTL,D,12,66,124,9.68,31,137
Mikko Rantanen,DAL,R,22,55,139,15.83,48,30
Jack Hughes,N.J,C,27,50,228,11.84,4,32
Quinn Hughes,"MIN, VAN",D,7,69,187,3.74,7,87
Lucas Raymond,DET,L,25,51,173,14.45,43,29
Filip Forsberg,NSH,L,40,35,246,16.26,124,33
Connor Bedard,CHI,C,30,45,226,13.27,31,27
Sidney Crosby,PIT,C,29,45,160,18.13,60,30
Ryan O'Reilly,NSH,C,25,49,154,16.23,17,66
Nick Schmaltz,UTA,C,33,41,204,16.18,23,52
Brandon Hagel,T.B,L,36,38,214,16.82,42,38
Rasmus Dahlin,BUF,D,19,55,195,9.74,67,79
Mark Stone,VGK,R,28,45,129,21.71,31,47
Adrian Kempe,L.A,R,36,37,226,15.93,127,39
Dylan Guenther,UTA,R,40,33,242,16.53,66,28
Juraj Slafkovský,MTL,L,30,43,181,16.57,105,78
Mathew Barzal,NYI,C,19,53,184,10.33,29,50
John Tavares,TOR,C,31,40,192,16.15,74,24
Nikolaj Ehlers,CAR,L,26,45,208,12.5,21,24
Jesper Bratt,N.J,L,22,49,178,12.36,74,24
Drake Batherson,OTT,R,33,38,167,19.76,122,22
Darren Raddysh,T.B,D,22,48,212,10.38,67,69
Andrei Svechnikov,CAR,R,31,39,204,15.2,148,16
Cutter Gauthier,ANA,L,41,28,283,14.49,64,20
Travis Konecny,PHI,R,27,41,169,15.98,108,38
Morgan Geekie,BOS,C,39,29,181,21.55,110,34
Gabriel Vilardi,WPG,C,30,38,149,20.13,20,35
Dylan Larkin,DET,C,34,33,227,14.98,46,33
Kirill Marchenko,CBJ,R,27,40,218,12.39,61,40
Trevor Zegras,PHI,C,26,41,167,15.57,46,28
Leo Carlsson,ANA,C,29,38,193,15.03,14,29
Steven Stamkos,NSH,C,42,24,206,20.39,89,36
Erik Karlsson,PIT,D,15,51,176,8.52,20,64
Alex Tuch,BUF,R,33,33,195,16.92,82,90
Nico Hischier,N.J,C,28,38,211,13.27,58,62
Seth Jarvis,CAR,C,32,34,224,14.29,81,27
Matthew Knies,TOR,L,23,43,140,16.43,152,32
Brock Nelson,COL,C,33,32,186,17.74,38,65
Bryan Rust,PIT,R,29,36,183,15.85,35,71
Pavel Zacha,BOS,C,30,35,130,23.08,64,26
Alex Ovechkin,WSH,L,32,32,243,13.17,134,16
Anthony Mantha,PIT,R,33,31,152,21.71,52,40
Robert Thomas,STL,C,25,39,102,24.51,10,40
Pavel Dorofeyev,VGK,R,37,27,229,16.16,27,28
Miro Heiskanen,DAL,D,9,54,148,6.08,21,132
Tom Wilson,WSH,R,30,32,153,19.61,179,54
Ivan Demidov,MTL,R,19,43,127,14.96,28,26
Evgeni Malkin,PIT,C,19,42,147,12.93,24,17
Sam Reinhart,FLA,C,29,32,166,17.47,59,40
Ivan Barbashev,VGK,L,23,38,133,17.29,137,37
Charlie McAvoy,BOS,D,11,50,111,9.91,79,129
John Carlson,"ANA, WSH",D,14,46,154,9.09,26,106
Jakob Chychrun,WSH,D,26,34,221,11.76,58,114
Moritz Seider,DET,D,10,50,187,5.35,128,180
Beckett Sennecke,ANA,R,23,37,197,11.68,97,24
Mikhail Sergachev,UTA,D,10,49,159,6.29,38,125
Brady Tkachuk,OTT,L,22,37,221,9.95,162,19
Dylan Cozens,OTT,C,28,31,205,13.66,215,24
Adam Fantilli,CBJ,C,24,35,214,11.21,139,51
Will Smith,S.J,C,24,35,166,14.46,16,12
Matthew Schaefer,NYI,D,23,36,222,10.36,40,111
Charlie Coyle,CBJ,C,20,38,142,14.08,111,53
Tomas Hertl,VGK,C,24,34,202,11.88,114,45
Tyler Bertuzzi,CHI,L,32,26,164,19.51,55,24
Sam Bennett,FLA,C,26,32,202,12.87,115,32
Dylan Strome,WSH,C,19,39,143,13.29,11,53
Jackson LaCombe,ANA,D,10,48,156,6.41,74,128
Patrick Kane,DET,R,16,41,169,9.47,21,24
Bo Horvat,NYI,C,31,26,226,13.72,51,38
Troy Terry,ANA,R,19,38,161,11.8,2,16
Alexis Lafrenière,NYR,L,24,33,162,14.81,84,42
Ryan Nugent-Hopkins,EDM,C,20,36,132,15.15,25,31
Luke Evangelista,NSH,R,12,44,176,6.82,21,21
Jordan Eberle,SEA,R,26,29,168,15.48,55,43
Roman Josi,NSH,D,13,42,181,7.18,24,101
Carter Verhaeghe,FLA,C,25,30,187,13.37,68,22
Josh Morrissey,WPG,D,14,41,145,9.66,36,118
Alexander Wennberg,S.J,C,18,37,94,19.15,28,93
Brad Marchand,FLA,L,27,27,138,19.57,36,16
Mats Zuccarello,MIN,R,15,39,122,12.3,16,26
Viktor Arvidsson,BOS,L,25,29,175,14.29,24,36
Ryan McLeod,BUF,C,14,40,90,15.56,16,34
Jake Sanderson,OTT,D,14,40,147,9.52,29,128
Vincent Trocheck,NYR,C,16,37,114,14.04,193,49
J.T. Miller,NYR,C,17,36,144,11.81,123,34
Auston Matthews,TOR,C,27,26,227,11.89,42,81
Adam Fox,NYR,D,9,44,91,9.89,24,74
William Eklund,S.J,L,15,38,177,8.47,72,51
Jackson Blake,CAR,R,22,31,174,12.64,13,34
Zach Hyman,EDM,L,31,21,159,19.5,56,18
Anthony Cirelli,T.B,C,23,29,125,18.4,50,47
Aliaksei Protas,WSH,"C, L",25,27,158,15.82,33,42
Josh Doan,BUF,R,25,27,169,14.79,78,31
Christian Dvorak,PHI,C,18,33,151,11.92,38,52
Joel Eriksson Ek,MIN,C,19,32,194,9.79,106,34
Elias Pettersson,VAN,C,15,36,132,11.36,67,108
Owen Tippett,PHI,R,28,23,221,12.67,166,50
Dylan Holloway,STL,L,22,29,162,13.58,129,41
Jack Quinn,BUF,R,20,31,191,10.47,52,25
Brock Faber,MIN,D,15,36,173,8.67,33,148
Jimmy Snuggerud,STL,R,21,30,169,12.43,71,39
Matvei Michkov,PHI,R,20,31,163,12.27,33,19
Nazem Kadri,"CGY, COL",C,16,34,213,7.51,50,30
Chris Kreider,ANA,L,22,28,139,15.83,69,20
Shayne Gostisbehere,CAR,D,13,37,117,11.11,29,63
Brayden Point,T.B,C,18,32,130,13.85,8,23
Matty Beniers,SEA,C,20,30,148,13.51,31,69
Claude Giroux,OTT,R,14,35,139,10.07,65,27
Marcus Johansson,MIN,L,15,34,107,14.02,34,20
Tyler Toffoli,S.J,C,19,30,172,11.05,48,31
Chandler Stephenson,SEA,C,16,33,93,17.2,20,57
Valeri Nichushkin,COL,R,17,32,159,10.69,55,27
Filip Hronek,VAN,D,8,41,137,5.84,133,100
Quinton Byfield,L.A,R,24,25,181,13.26,66,44
Taylor Hall,CAR,L,18,30,137,13.14,54,30
Rickard Rakell,PIT,R,24,24,166,14.46,71,43
Pavel Buchnevich,STL,L,20,28,142,14.08,30,40
Artturi Lehkonen,COL,L,21,27,152,13.82,45,33
Elias Lindholm,BOS,C,17,31,114,14.91,41,59
Brock Boeser,VAN,R,22,26,166,13.25,54,26
Vladimir Tarasenko,MIN,R,23,24,148,15.54,60,33
Rasmus Andersson,"CGY, VGK",D,17,30,177,9.6,37,150
Noah Cates,PHI,L,18,29,132,13.64,102,51
Noah Dobson,MTL,D,12,35,158,7.59,62,188
JJ Peterka,UTA,R,25,22,160,15.63,16,19
Jordan Kyrou,STL,R,18,28,173,10.4,14,28
Connor McMichael,WSH,"C, L",14,32,142,9.86,45,45
Shane Pinto,OTT,C,23,23,157,14.65,94,50
Bobby McMann,"SEA, TOR",C,29,17,183,15.85,165,27
Collin Graf,S.J,R,21,25,119,17.65,88,48
Matt Duchene,DAL,C,16,29,89,17.98,29,23
Jason Zucker,BUF,L,24,21,128,18.75,57,21
Mason Marchment,"CBJ, SEA",L,19,26,119,15.97,84,28
Matt Coronato,CGY,R,18,27,198,9.09,23,23
Ryan Leonard,WSH,R,20,25,153,13.07,124,25
Vince Dunn,SEA,D,11,33,179,6.15,27,86
Timo Meier,N.J,R,24,20,269,8.92,131,53
Roope Hintz,DAL,C,15,29,126,11.9,60,18
Lawson Crouse,UTA,L,24,20,140,17.14,212,52
Anton Lundell,FLA,C,18,26,138,13.04,75,35
Alex Laferriere,L.A,R,21,23,209,10.05,255,49
Logan Stankoven,CAR,C,21,23,166,12.65,50,22
Mikael Backlund,CGY,C,17,26,186,9.14,23,28
Connor Brown,N.J,R,18,25,116,15.52,25,37
Andrew Copp,DET,C,9,34,115,7.83,45,64
Ryan Hartman,MIN,R,23,20,167,13.77,64,95
Morgan Frost,CGY,C,22,21,140,15.71,59,39
Logan Cooley,UTA,C,24,19,102,23.53,54,27
Zach Benson,BUF,L,13,30,116,11.21,40,22
Anders Lee,NYI,L,19,23,201,9.45,91,37
Tommy Novak,PIT,C,16,26,130,12.31,12,34
Jake DeBrusk,VAN,L,23,19,219,10.5,66,34
Casey Mittelstadt,BOS,C,15,27,79,18.99,23,21
Bowen Byram,BUF,D,11,31,109,10.09,50,93
Dawson Mercer,N.J,C,20,22,158,12.66,33,47
Yegor Chinakhov,"CBJ, PIT",R,21,21,139,15.11,49,31
Mattias Ekholm,EDM,D,6,35,131,4.58,65,125
Mikael Granlund,ANA,C,19,22,117,16.24,32,41
Mattias Samuelsson,BUF,D,13,28,109,11.93,132,154
Simon Holmstrom,NYI,R,19,22,100,19,16,45
Mavrik Bourque,DAL,C,20,21,147,13.61,78,21
Mason McTavish,ANA,C,17,24,146,11.64,95,33
Frank Nazar,CHI,C,15,26,138,10.87,37,43
Justin Faulk,"DET, STL",D,16,24,148,10.81,70,132
Kevin Fiala,L.A,L,18,22,147,12.24,39,24
Jared McCann,SEA,L,20,20,117,17.09,40,25
Kaapo Kakko,SEA,R,13,27,78,16.67,30,12
Brandt Clarke,L.A,D,8,32,159,5.03,31,185
Sam Malinski,COL,D,8,32,164,4.88,46,95
Brayden Schenn,"NYI, STL",C,18,21,119,15.13,180,41
Oliver Ekman-Larsson,TOR,D,8,31,108,7.41,86,72
Shea Theodore,VGK,D,10,29,129,7.75,2,87
Peyton Krebs,BUF,C,12,27,93,12.9,201,41
Matias Maccelli,TOR,L,14,25,90,15.56,24,17
Anze Kopitar,L.A,C,12,26,101,11.88,33,61
Erik Haula,NSH,L,14,24,127,11.02,118,51
Boone Jenner,CBJ,C,13,25,132,9.85,147,66
