Player,Team,Position,Off. Zone Starts,Off. Zone Start %,Off. Zone Faceoffs,Off. Zone Faceoff %
Tristan Luneau,ANA,D,2,50,5,62.5
Alex Barré-Boulet,COL,C,5,100,6,100
Zack MacEwen,N.J,R,3,100,9,81.82
Dysin Mayo,CBJ,D,9,90,10,66.67
Andreas Englund,NSH,D,2,33.33,6,42.86
Tyson Hinds,ANA,D,9,60,29,67.44
Xavier Bourgault,OTT,R,2,100,3,100
Jason Polin,COL,R,9,69.23,12,57.14
Bogdan Trineyev,WSH,R,1,25,4,50
Brett Leason,WSH,R,5,31.25,13,40.63
K'Andre Miller,CAR,D,196,58.16,476,57.07
Sebastian Aho,CAR,C,229,68.36,432,63.25
Logan Stankoven,CAR,C,185,76.76,376,67.5
Sean Walker,CAR,D,229,57.54,521,55.9
Bokondji Imama,PIT,L,2,33.33,5,50
Raphael Lavoie,VGK,C,3,75,3,60
Carson Lambos,MIN,D,0,0,3,60
Andrei Svechnikov,CAR,R,218,65.66,412,60.23
Nikolaj Ehlers,CAR,L,206,67.1,388,59.33
Jackson Blake,CAR,R,178,76.39,378,67.38
Boris Katchouk,T.B,L,8,72.73,10,71.43
Jordan Spence,OTT,D,219,69.09,471,67.58
Seth Jarvis,CAR,C,207,68.77,384,64
Taylor Hall,CAR,L,186,73.23,369,67.09
Mike Reilly,CAR,D,122,72.62,233,66.19
Jordan Martinook,CAR,L,195,52.7,333,51
Shayne Gostisbehere,CAR,D,164,71.93,368,69.3
William Carrier,CAR,L,154,53.66,268,52.55
Joel Nystrom,CAR,D,115,69.28,232,65.17
Josiah Slavin,CAR,L,2,50,7,58.33
Jack Ahcan,COL,D,7,26.92,27,41.54
Mikael Pyyhtia,CBJ,L,5,35.71,12,37.5
Sam Malinski,COL,D,163,50.15,384,51.27
Skyler Brind'Amour,CAR,C,10,71.43,20,76.92
Jordan Staal,CAR,C,184,50.14,317,47.96
Mark Jankowski,CAR,L,166,64.09,272,59.52
Jaccob Slavin,CAR,D,87,53.05,199,51.55
Ross Colton,COL,C,121,46.54,254,46.52
Konsta Helenius,BUF,C,14,60.87,27,65.85
Joel Kiviranta,COL,L,62,44.6,108,42.19
Brandon Hagel,T.B,L,176,58.47,320,54.61
Jack Drury,COL,C,124,47.51,252,44.84
Alexander Nikishin,CAR,D,233,67.93,484,64.19
Arseny Gritsyuk,N.J,R,116,47.54,247,51.89
Brendan Brisson,NYR,C,5,55.56,6,42.86
Michael Brandsegg-Nygård,DET,R,22,44.9,47,47.47
Jalen Chatfield,CAR,D,186,57.94,435,56.27
Brady Tkachuk,OTT,L,207,68.54,325,64.61
Michael Carcone,UTA,L,131,49.25,235,47.09
Jacob Moverare,L.A,D,15,57.69,38,55.88
Michael Callahan,BOS,D,3,23.08,14,48.28
Nathan MacKinnon,COL,C,303,71.63,612,65.67
Valeri Nichushkin,COL,R,150,52.63,282,49.13
Eric Robinson,CAR,L,150,63.56,276,59.48
Devon Toews,COL,D,226,65.51,499,60.48
Ville Heinola,WPG,D,11,47.83,22,55
Josh Manson,COL,D,116,40.42,340,45.7
Luke Evangelista,NSH,R,137,54.58,333,51.79
Brock Nelson,COL,C,205,54.09,378,51.22
Darren Raddysh,T.B,D,146,49.32,395,53.38
Mackie Samoskevich,FLA,R,144,55.81,259,52.11
Kevin Rooney,UTA,C,3,50,3,33.33
