Player,Team,Position,PDO
Alex Barré-Boulet,COL,C,1
Zack MacEwen,N.J,R,1
Tristan Luneau,ANA,D,1.222
Dysin Mayo,CBJ,D,0.975
Andreas Englund,NSH,D,0.875
Andrei Svechnikov,CAR,R,1.003
Nikolaj Ehlers,CAR,L,1.003
Shayne Gostisbehere,CAR,D,0.999
Matthew Tkachuk,FLA,L,0.984
Brady Tkachuk,OTT,L,0.986
Sebastian Aho,CAR,C,0.996
Stephen Halliday,OTT,C,0.983
Jackson Blake,CAR,R,0.994
Pavel Dorofeyev,VGK,R,0.998
Tomas Hertl,VGK,C,0.97
Logan Stankoven,CAR,C,0.996
Victor Eklund,NYI,R,0.643
Seth Jarvis,CAR,C,0.994
Brett Leason,WSH,R,0.882
Dylan Cozens,OTT,C,0.994
Nathan MacKinnon,COL,C,1.042
Taylor Hall,CAR,L,0.986
Clayton Keller,UTA,R,1.012
Nikita Kucherov,T.B,R,1.048
Xavier Bourgault,OTT,R,0.743
Jason Polin,COL,R,1.111
Drake Batherson,OTT,R,1.002
Mackie Samoskevich,FLA,R,0.989
Martin Necas,COL,C,1.044
Tyson Hinds,ANA,D,0.906
Arthur Kaliyev,OTT,R,1.118
Jordan Spence,OTT,D,0.988
Bogdan Trineyev,WSH,R,1
Jack Hughes,N.J,C,0.984
Jesper Bratt,N.J,L,0.968
Darren Raddysh,T.B,D,1.023
Bokondji Imama,PIT,L,1
Artemi Panarin,"L.A, NYR",L,0.982
Raphael Lavoie,VGK,C,1
Carter Verhaeghe,FLA,C,0.974
Arseny Gritsyuk,N.J,R,0.967
Luke Evangelista,NSH,R,1.006
Mark Stone,VGK,R,1.031
Leo Carlsson,ANA,C,0.97
Chris Kreider,ANA,L,0.985
Andrei Kuzmenko,L.A,L,0.995
Kevin Fiala,L.A,L,0.987
Cole Caufield,MTL,R,1.05
Michael Brandsegg-Nygård,DET,R,0.884
Victor Olofsson,"CGY, COL",L,0.988
Alex Ovechkin,WSH,L,1.011
Quinn Hughes,"MIN, VAN",D,0.999
Mitch Marner,VGK,R,1.018
Brayden Point,T.B,C,1.039
Sam Bennett,FLA,C,0.986
K'Andre Miller,CAR,D,0.957
Ross Colton,COL,C,0.98
Adam Fox,NYR,D,1.025
Cutter Gauthier,ANA,L,0.993
Troy Terry,ANA,R,0.99
Leon Draisaitl,EDM,C,1.026
