Player,Team,Pos,+/-
Connor McDavid,EDM,C,17
Nikita Kucherov,TBL,R,43
Nathan MacKinnon,COL,C,57
Macklin Celebrini,SJS,C,8
Mark Scheifele,WPG,C,0
Nick Suzuki,MTL,C,37
Martin Necas,COL,C,47
David Pastrnak,BOS,R,4
Leon Draisaitl,EDM,C,13
Jason Robertson,DAL,L,22
Evan Bouchard,EDM,D,25
Kyle Connor,WPG,L,-2
Jack Eichel,VGK,C,23
Kirill Kaprizov,MIN,L,10
Cole Caufield,MTL,R,29
Jake Guentzel,TBL,C,13
Clayton Keller,UTA,R,21
Wyatt Johnston,DAL,C,-5
Matt Boldy,MIN,L,18
Alex DeBrincat,DET,R,8
Artemi Panarin,"NYR,LAK",L,-7
Tim Stützle,OTT,C,7
Tage Thompson,BUF,C,-6
Zach Werenski,CBJ,D,7
Sebastian Aho,CAR,C,11
Mitch Marner,VGK,R,17
William Nylander,TOR,R,-14
Cale Makar,COL,D,32
Mika Zibanejad,NYR,C,-20
Lane Hutson,MTL,D,36
Jack Hughes,NJD,C,0
Mikko Rantanen,DAL,R,0
Lucas Raymond,DET,L,1
Quinn Hughes,"VAN,MIN",D,-4
Filip Forsberg,NSH,L,-2
Connor Bedard,CHI,C,-18
Brandon Hagel,TBL,L,34
Nick Schmaltz,UTA,C,17
Sidney Crosby,PIT,C,0
Ryan O'Reilly,NSH,C,8
Rasmus Dahlin,BUF,D,18
Dylan Guenther,UTA,R,7
Adrian Kempe,LAK,R,14
Juraj Slafkovský,MTL,L,9
Mark Stone,VGK,R,26
Mathew Barzal,NYI,C,10
Drake Batherson,OTT,R,-7
John Tavares,TOR,C,-28
Nikolaj Ehlers,CAR,L,8
Jesper Bratt,NJD,L,-11
Andrei Svechnikov,CAR,R,1
Darren Raddysh,TBL,D,21
Cutter Gauthier,ANA,L,-2
Gabriel Vilardi,WPG,C,-12
Morgan Geekie,BOS,C,-5
Travis Konecny,PHI,R,14
Dylan Larkin,DET,C,3
Leo Carlsson,ANA,C,4
Kirill Marchenko,CBJ,R,7
Trevor Zegras,PHI,C,0
Steven Stamkos,NSH,C,-17
Alex Tuch,BUF,R,24
Seth Jarvis,CAR,R,6
Nico Hischier,NJD,C,-6
Matthew Knies,TOR,L,-30
Erik Karlsson,PIT,D,8
Brock Nelson,COL,C,15
Pavel Zacha,BOS,C,4
Bryan Rust,PIT,R,0
Pavel Dorofeyev,VGK,R,-3
Anthony Mantha,PIT,R,10
Alex Ovechkin,WSH,L,-5
Robert Thomas,STL,C,22
Miro Heiskanen,DAL,D,9
Tom Wilson,WSH,R,15
Ivan Demidov,MTL,R,3
Sam Reinhart,FLA,C,-18
Ivan Barbashev,VGK,L,20
Evgeni Malkin,PIT,C,13
Charlie McAvoy,BOS,D,13
Jakob Chychrun,WSH,D,20
Beckett Sennecke,ANA,R,-12
John Carlson,"WSH,ANA",D,9
Moritz Seider,DET,D,15
Dylan Cozens,OTT,C,-7
Adam Fantilli,CBJ,C,-13
Will Smith,SJS,C,1
Matthew Schaefer,NYI,D,13
Brady Tkachuk,OTT,L,4
Mikhail Sergachev,UTA,D,2
Tyler Bertuzzi,CHI,L,-16
Sam Bennett,FLA,C,-10
Tomas Hertl,VGK,C,-17
Charlie Coyle,CBJ,C,3
Dylan Strome,WSH,C,2
Jackson LaCombe,ANA,D,-2
Bo Horvat,NYI,C,8
Alexis Lafrenière,NYR,L,-7
Troy Terry,ANA,R,11
Patrick Kane,DET,R,-1
